"KMeans_Cluster","Mean_Perawat","Mean_Bidan","Mean_Tenaga_Kefarmasian","Count","Method","Silhouette_Score","HCluster","DBSCAN_Cluster","Fuzzy_Cluster"
1,688.363636363636,654.545454545455,108.045454545455,22,"K-Means",0.372849829261655,NA,NA,NA
2,1005,1094.86666666667,143.6,15,"K-Means",0.372849829261655,NA,NA,NA
3,2980.6,1047,442.8,5,"K-Means",0.372849829261655,NA,NA,NA
4,396.30303030303,471.939393939394,46.6969696969697,33,"K-Means",0.372849829261655,NA,NA,NA
NA,492.604166666667,501.833333333333,67.9375,48,"Hierarchical",0.496682410232249,1,NA,NA
NA,893.272727272727,1014.04545454545,127.772727272727,22,"Hierarchical",0.496682410232249,2,NA,NA
NA,2652.33333333333,930.666666666667,328,3,"Hierarchical",0.496682410232249,3,NA,NA
NA,3473,1221.5,615,2,"Hierarchical",0.496682410232249,4,NA,NA
NA,1476.875,863.5,205.6875,16,"DBSCAN",0.362313254032855,NA,0,NA
NA,370.297297297297,506.702702702703,47.6486486486486,37,"DBSCAN",0.362313254032855,NA,1,NA
NA,623,862.5,96,6,"DBSCAN",0.362313254032855,NA,2,NA
NA,953.25,1010,164.25,4,"DBSCAN",0.362313254032855,NA,3,NA
NA,1382.66666666667,1263.66666666667,209.333333333333,3,"DBSCAN",0.362313254032855,NA,4,NA
NA,922.333333333333,994.666666666667,131.333333333333,3,"DBSCAN",0.362313254032855,NA,5,NA
NA,845.666666666667,617,137,3,"DBSCAN",0.362313254032855,NA,6,NA
NA,1288.66666666667,409,188.666666666667,3,"DBSCAN",0.362313254032855,NA,7,NA
NA,399,457.266666666667,46.3,30,"Fuzzy C-Means",0.34770339126653,NA,NA,1
NA,1178.82352941176,1077,167.647058823529,17,"Fuzzy C-Means",0.34770339126653,NA,NA,2
NA,3312.66666666667,1116.33333333333,506,3,"Fuzzy C-Means",0.34770339126653,NA,NA,3
NA,650.08,650.24,101.16,25,"Fuzzy C-Means",0.34770339126653,NA,NA,4
