"KMeans_Cluster","Mean_Perawat","Mean_Bidan","Mean_Tenaga_Kefarmasian","Count","Method","Silhouette_Score","HCluster","DBSCAN_Cluster","Fuzzy_Cluster"
1,2603,1015,350,1,"K-Means",0.323720695214485,NA,NA,NA
2,700.2,511.6,119.2,5,"K-Means",0.323720695214485,NA,NA,NA
3,1002,1213.75,123.5,4,"K-Means",0.323720695214485,NA,NA,NA
4,329.4,491.6,38.2,5,"K-Means",0.323720695214485,NA,NA,NA
NA,700.2,511.6,119.2,5,"Hierarchical",0.323720695214485,1,NA,NA
NA,1002,1213.75,123.5,4,"Hierarchical",0.323720695214485,2,NA,NA
NA,329.4,491.6,38.2,5,"Hierarchical",0.323720695214485,3,NA,NA
NA,2603,1015,350,1,"Hierarchical",0.323720695214485,4,NA,NA
NA,879.416666666667,768.25,125.333333333333,12,"DBSCAN",NA,NA,0,NA
NA,402,555.666666666667,42.3333333333333,3,"DBSCAN",NA,NA,1,NA
NA,700.2,511.6,119.2,5,"Fuzzy C-Means",0.323720695214485,NA,NA,1
NA,1002,1213.75,123.5,4,"Fuzzy C-Means",0.323720695214485,NA,NA,2
NA,2603,1015,350,1,"Fuzzy C-Means",0.323720695214485,NA,NA,3
NA,329.4,491.6,38.2,5,"Fuzzy C-Means",0.323720695214485,NA,NA,4
